Set,Price_Euro,Pieces,Minifigs
Sith Infiltrator Microfighter,9.99,92,1
Elite Praetorian Guard Battle Pack,14.99,109,5
Inferno Squad Battle Pack,14.99,118,4
Darth Vader Bust,NaN,327,NaN
Escape Pod vs. Dewback Microfighters,19.99,177,3
Death Star Escape,29.99,329,4
Kylo Ren & Sith Trooper,19.99,240,NaN
Droid Gunship,59.99,389,4
AT-AP Walker,68.23,689,5
X-wing Starfighter Trench Run,29.23,132,3
Duel on Starkiller Base,19.99,191,2
TIE Fighter Attack,19.99,77,2
Action Battle Endor Assault,29.23,193,2
Action Battle Hoth Generator Attack,29.23,235,2
Major Vonreg's TIE Fighter,68.23,496,4
Action Battle Echo Base Defense,58.48,504,6
Black Ace TIE Interceptor,48.73,396,3
Slave I - 20th Anniversary Edition,116.97,1007,5
Tantive IV,194.95,1768,6
LEGO Star Wars Advent Calendar,29.99,280,9
Death Star Cannon,19.49,159,2
Rebel A-wing Starfighter,14.99,62,2
Resistance A-wing Starfighter,29.23,269,2
Resistance Y-wing Starfighter,69.99,578,5
Pasaana Speeder Chase,48.73,373,4
Darth Vader's Castle,129.99,1060,6
Imperial Star Destroyer,699.99,4784,2
Droid Commander,194.95,1177,NaN
AT-ST Raider,59.99,540,4
Yoda,119.99,1771,1
Kylo Ren's Shuttle,119.99,1005,6
Millennium Falcon,169.99,1351,7
Anakin's Podracer – 20th Anniversary Edition,29.23,279,3
Snowspeeder – 20th Anniversary Edition,39.99,309,4
Clone Scout Walker – 20th Anniversary Edition,29.99,250,5
Imperial Dropship – 20th Anniversary Edition,19.99,125,5
Mini Boost Droid Commander,NaN,62,3
The Upside Down,199.99,2287,8
Ferrari F40 Competizione,14.99,198,1
Chevrolet Camaro ZL1 Race Car,14.99,198,1
McLaren Senna,14.99,219,1
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,39.99,478,3
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,48.73,481,4
1974 Porsche 911 Turbo 3.0,14.99,180,1
Dilophosaurus on the Loose,24.36,168,3
Baryonyx Face-Off: The Treasure Hunt,59.99,434,4
Jurassic Park: T. rex Rampage,249.99,3120,6
Triceratops Rampage,58.48,447,4
T. rex vs Dino-Mech Battle,87.72,716,4
Expecto Patronum,19.49,121,4
Hungarian Horntail Triwizard Challenge,34.11,265,4
Hagrid's Hut: Buckbeak's Rescue,59.99,496,6
Hogwarts Clock Tower,99.99,922,8
The Knight Bus,39.99,403,3
Beauxbatons' Carriage: Arrival at Hogwarts ,48.73,430,4
LEGO Harry Potter Advent Calendar,24.99,305,8
The Rise of Voldemort,19.49,184,6
Tracer vs. Widowmaker,14.99,129,2
Hanzo vs. Genji,24.36,197,3
Dorado Showdown,29.99,419,3
D.Va & Reinhardt,39.99,455,2
